# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
E4B8B8	4E38	8ADB	B4DD	345D	丸	 &#20024;
E4B8B9	4E39	924F	C3B0	4330	丹	 &#20025;
E4B8BA	4E3A				为	 &#20026;
E4B8BB	4E3B	8EE5	BCE7	3C67	主	 &#20027;
E4B8BC	4E3C	98A5	D0A7	5027	丼	 &#20028;
E4B8BD	4E3D				丽	 &#20029;
E4B8BE	4E3E				举	 &#20030;
E4B8BF	4E3F	98A6	D0A8	5028	丿	 &#20031;
E4B980	4E40		8FB0AF	44302F	乀	 &#20032;
E4B981	4E41		8FB0B0	443030	乁	 &#20033;
E4B982	4E42	98A7	D0A9	5029	乂	 &#20034;
E4B983	4E43	9454	C7B5	4735	乃	 &#20035;
E4B984	4E44		8FB0B1	443031	乄	 &#20036;
E4B985	4E45	8B76	B5D7	3557	久	 &#20037;
E4B986	4E46				乆	 &#20038;
E4B987	4E47		8FB0B2	443032	乇	 &#20039;
E4B988	4E48				么	 &#20040;
E4B989	4E49				义	 &#20041;
E4B98A	4E4A				乊	 &#20042;
E4B98B	4E4B	9456	C7B7	4737	之	 &#20043;
E4B98C	4E4C				乌	 &#20044;
E4B98D	4E4D	93E1	C6E3	4663	乍	 &#20045;
E4B98E	4E4E	8CC1	B8C3	3843	乎	 &#20046;
E4B98F	4E4F	9652	CBB3	4B33	乏	 &#20047;
E4B990	4E50				乐	 &#20048;
E4B991	4E51		8FB0B3	443033	乑	 &#20049;
E4B992	4E52				乒	 &#20050;
E4B993	4E53				乓	 &#20051;
E4B994	4E54				乔	 &#20052;
E4B995	4E55	E568	E9C9	6949	乕	 &#20053;
E4B996	4E56	98A8	D0AA	502A	乖	 &#20054;
E4B997	4E57	8FE6	BEE8	3E68	乗	 &#20055;
E4B998	4E58	98A9	D0AB	502B	乘	 &#20056;
E4B999	4E59	89B3	B2B5	3235	乙	 &#20057;
E4B99A	4E5A		8FB0B4	443034	乚	 &#20058;
E4B99B	4E5B				乛	 &#20059;
E4B99C	4E5C		8FB0B5	443035	乜	 &#20060;
E4B99D	4E5D	8BE3	B6E5	3665	九	 &#20061;
E4B99E	4E5E	8CEE	B8F0	3870	乞	 &#20062;
E4B99F	4E5F	96E7	CCE9	4C69	也	 &#20063;
E4B9A0	4E60				习	 &#20064;
E4B9A1	4E61				乡	 &#20065;
E4B9A2	4E62	9BA4	D6A6	5626	乢	 &#20066;
E4B9A3	4E63		8FB0B6	443036	乣	 &#20067;
E4B9A4	4E64				乤	 &#20068;
E4B9A5	4E65				乥	 &#20069;
E4B9A6	4E66				书	 &#20070;
E4B9A7	4E67				乧	 &#20071;
E4B9A8	4E68		8FB0B7	443037	乨	 &#20072;
E4B9A9	4E69		8FB0B8	443038	乩	 &#20073;
E4B9AA	4E6A				乪	 &#20074;
E4B9AB	4E6B				乫	 &#20075;
E4B9AC	4E6C				乬	 &#20076;
E4B9AD	4E6D				乭	 &#20077;
E4B9AE	4E6E				乮	 &#20078;
E4B9AF	4E6F				乯	 &#20079;
E4B9B0	4E70				买	 &#20080;
E4B9B1	4E71	9790	CDF0	4D70	乱	 &#20081;
E4B9B2	4E72				乲	 &#20082;
E4B9B3	4E73	93FB	C6FD	467D	乳	 &#20083;
E4B9B4	4E74		8FB0B9	443039	乴	 &#20084;
E4B9B5	4E75		8FB0BA	44303A	乵	 &#20085;
E4B9B6	4E76				乶	 &#20086;
E4B9B7	4E77				乷	 &#20087;
E4B9B8	4E78				乸	 &#20088;
E4B9B9	4E79		8FB0BB	44303B	乹	 &#20089;
E4B9BA	4E7A				乺	 &#20090;
E4B9BB	4E7B				乻	 &#20091;
E4B9BC	4E7C				乼	 &#20092;
E4B9BD	4E7D				乽	 &#20093;
E4B9BE	4E7E	8AA3	B4A5	3425	乾	 &#20094;
E4B9BF	4E7F		8FB0BC	44303C	乿	 &#20095;
E4BA80	4E80	8B54	B5B5	3535	亀	 &#20096;
E4BA81	4E81				亁	 &#20097;
E4BA82	4E82	98AA	D0AC	502C	亂	 &#20098;
E4BA83	4E83				亃	 &#20099;
E4BA84	4E84				亄	 &#20100;
E4BA85	4E85	98AB	D0AD	502D	亅	 &#20101;
E4BA86	4E86	97B9	CEBB	4E3B	了	 &#20102;
E4BA87	4E87				亇	 &#20103;
E4BA88	4E88	975C	CDBD	4D3D	予	 &#20104;
E4BA89	4E89	9188	C1E8	4168	争	 &#20105;
E4BA8A	4E8A	98AD	D0AF	502F	亊	 &#20106;
E4BA8B	4E8B	8E96	BBF6	3B76	事	 &#20107;
E4BA8C	4E8C	93F1	C6F3	4673	二	 &#20108;
E4BA8D	4E8D		8FB0BD	44303D	亍	 &#20109;
E4BA8E	4E8E	98B0	D0B2	5032	于	 &#20110;
E4BA8F	4E8F				亏	 &#20111;
E4BA90	4E90				亐	 &#20112;
E4BA91	4E91	895D	B1BE	313E	云	 &#20113;
E4BA92	4E92	8CDD	B8DF	385F	互	 &#20114;
E4BA93	4E93				亓	 &#20115;
E4BA94	4E94	8CDC	B8DE	385E	五	 &#20116;
E4BA95	4E95	88E4	B0E6	3066	井	 &#20117;
E4BA96	4E96		8FB0BE	44303E	亖	 &#20118;
E4BA97	4E97		8FB0BF	44303F	亗	 &#20119;
E4BA98	4E98	986A	CFCB	4F4B	亘	 &#20120;
E4BA99	4E99	9869	CFCA	4F4A	亙	 &#20121;
E4BA9A	4E9A				亚	 &#20122;
E4BA9B	4E9B	8DB1	BAB3	3A33	些	 &#20123;
E4BA9C	4E9C	889F	B0A1	3021	亜	 &#20124;
E4BA9D	4E9D		8FB0C0	443040	亝	 &#20125;
E4BA9E	4E9E	98B1	D0B3	5033	亞	 &#20126;
E4BA9F	4E9F	98B2	D0B4	5034	亟	 &#20127;
E4BAA0	4EA0	98B3	D0B5	5035	亠	 &#20128;
E4BAA1	4EA1	9653	CBB4	4B34	亡	 &#20129;
E4BAA2	4EA2	98B4	D0B6	5036	亢	 &#20130;
E4BAA3	4EA3				亣	 &#20131;
E4BAA4	4EA4	8CF0	B8F2	3872	交	 &#20132;
E4BAA5	4EA5	88E5	B0E7	3067	亥	 &#20133;
E4BAA6	4EA6	9692	CBF2	4B72	亦	 &#20134;
E4BAA7	4EA7				产	 &#20135;
E4BAA8	4EA8	8B9C	B5FC	357C	亨	 &#20136;
E4BAA9	4EA9				亩	 &#20137;
E4BAAA	4EAA				亪	 &#20138;
E4BAAB	4EAB	8B9D	B5FD	357D	享	 &#20139;
E4BAAC	4EAC	8B9E	B5FE	357E	京	 &#20140;
E4BAAD	4EAD	92E0	C4E2	4462	亭	 &#20141;
E4BAAE	4EAE	97BA	CEBC	4E3C	亮	 &#20142;
E4BAAF	4EAF		8FB0C1	443041	亯	 &#20143;
E4BAB0	4EB0	98B5	D0B7	5037	亰	 &#20144;
E4BAB1	4EB1				亱	 &#20145;
E4BAB2	4EB2				亲	 &#20146;
E4BAB3	4EB3	98B6	D0B8	5038	亳	 &#20147;
E4BAB4	4EB4				亴	 &#20148;
E4BAB5	4EB5				亵	 &#20149;
E4BAB6	4EB6	98B7	D0B9	5039	亶	 &#20150;
E4BAB7	4EB7				亷	 &#20151;
E4BAB8	4EB8				亸	 &#20152;
E4BAB9	4EB9		8FB0C2	443042	亹	 &#20153;
E4BABA	4EBA	906C	BFCD	3F4D	人	 &#20154;
E4BABB	4EBB				亻	 &#20155;
E4BABC	4EBC				亼	 &#20156;
E4BABD	4EBD				亽	 &#20157;
E4BABE	4EBE				亾	 &#20158;
E4BABF	4EBF				亿	 &#20159;
E4BB80	4EC0	8F59	BDBA	3D3A	什	 &#20160;
E4BB81	4EC1	906D	BFCE	3F4E	仁	 &#20161;
E4BB82	4EC2	98BC	D0BE	503E	仂	 &#20162;
E4BB83	4EC3		8FB0C3	443043	仃	 &#20163;
E4BB84	4EC4	98BA	D0BC	503C	仄	 &#20164;
E4BB85	4EC5				仅	 &#20165;
E4BB86	4EC6	98BB	D0BD	503D	仆	 &#20166;
E4BB87	4EC7	8B77	B5D8	3558	仇	 &#20167;
E4BB88	4EC8				仈	 &#20168;
E4BB89	4EC9				仉	 &#20169;
E4BB8A	4ECA	8DA1	BAA3	3A23	今	 &#20170;
E4BB8B	4ECB	89EE	B2F0	3270	介	 &#20171;
E4BB8C	4ECC				仌	 &#20172;
E4BB8D	4ECD	98B9	D0BB	503B	仍	 &#20173;
E4BB8E	4ECE	98B8	D0BA	503A	从	 &#20174;
E4BB8F	4ECF	95A7	CAA9	4A29	仏	 &#20175;
E4BB90	4ED0		8FB0C4	443044	仐	 &#20176;
E4BB91	4ED1				仑	 &#20177;
E4BB92	4ED2				仒	 &#20178;
E4BB93	4ED3				仓	 &#20179;
E4BB94	4ED4	8E65	BBC6	3B46	仔	 &#20180;
E4BB95	4ED5	8E64	BBC5	3B45	仕	 &#20181;
E4BB96	4ED6	91BC	C2BE	423E	他	 &#20182;
E4BB97	4ED7	98BD	D0BF	503F	仗	 &#20183;
E4BB98	4ED8	9574	C9D5	4955	付	 &#20184;
E4BB99	4ED9	90E5	C0E7	4067	仙	 &#20185;
E4BB9A	4EDA		8FB0C5	443045	仚	 &#20186;
E4BB9B	4EDB		8FB0C6	443046	仛	 &#20187;
E4BB9C	4EDC				仜	 &#20188;
E4BB9D	4EDD	8157	A1B8	2138	仝	 &#20189;
E4BB9E	4EDE	98BE	D0C0	5040	仞	 &#20190;
E4BB9F	4EDF	98C0	D0C2	5042	仟	 &#20191;
E4BBA0	4EE0		8FB0C7	443047	仠	 &#20192;
E4BBA1	4EE1	FA69	F9AE	443048	仡	 &#20193;
E4BBA2	4EE2		8FB0C9	443049	仢	 &#20194;
E4BBA3	4EE3	91E3	C2E5	4265	代	 &#20195;
E4BBA4	4EE4	97DF	CEE1	4E61	令	 &#20196;
E4BBA5	4EE5	88C8	B0CA	304A	以	 &#20197;
E4BBA6	4EE6				仦	 &#20198;
E4BBA7	4EE7				仧	 &#20199;
E4BBA8	4EE8		8FB0CA	44304A	仨	 &#20200;
E4BBA9	4EE9				仩	 &#20201;
E4BBAA	4EEA				仪	 &#20202;
E4BBAB	4EEB				仫	 &#20203;
E4BBAC	4EEC				们	 &#20204;
E4BBAD	4EED	98BF	D0C1	5041	仭	 &#20205;
E4BBAE	4EEE	89BC	B2BE	323E	仮	 &#20206;
E4BBAF	4EEF		8FB0CB	44304B	仯	 &#20207;
E4BBB0	4EF0	8BC2	B6C4	3644	仰	 &#20208;
E4BBB1	4EF1		8FB0CC	44304C	仱	 &#20209;
E4BBB2	4EF2	9287	C3E7	4367	仲	 &#20210;
E4BBB3	4EF3		8FB0CD	44304D	仳	 &#20211;
E4BBB4	4EF4				仴	 &#20212;
E4BBB5	4EF5		8FB0CE	44304E	仵	 &#20213;
E4BBB6	4EF6	8C8F	B7EF	376F	件	 &#20214;
E4BBB7	4EF7	98C1	D0C3	5043	价	 &#20215;
E4BBB8	4EF8				仸	 &#20216;
E4BBB9	4EF9				仹	 &#20217;
E4BBBA	4EFA				仺	 &#20218;
E4BBBB	4EFB	9443	C7A4	4724	任	 &#20219;
E4BBBC	4EFC	FA6A	F9AF		仼	 &#20220;
E4BBBD	4EFD		8FB0CF	44304F	份	 &#20221;
E4BBBE	4EFE		8FB0D0	443050	仾	 &#20222;
E4BBBF	4EFF		8FB0D1	443051	仿	 &#20223;
E4BC80	4F00	FA6B	F9B0	443052	伀	 &#20224;
E4BC81	4F01	8AE9	B4EB	346B	企	 &#20225;
E4BC82	4F02		8FB0D3	443053	伂	 &#20226;
E4BC83	4F03	FA6C	F9B1	443054	伃	 &#20227;
E4BC84	4F04				伄	 &#20228;
E4BC85	4F05				伅	 &#20229;
E4BC86	4F06				伆	 &#20230;
E4BC87	4F07				伇	 &#20231;
E4BC88	4F08		8FB0D5	443055	伈	 &#20232;
E4BC89	4F09	98C2	D0C4	5044	伉	 &#20233;
E4BC8A	4F0A	88C9	B0CB	304B	伊	 &#20234;
E4BC8B	4F0B		8FB0D6	443056	伋	 &#20235;
E4BC8C	4F0C		8FB0D7	443057	伌	 &#20236;
E4BC8D	4F0D	8CDE	B8E0	3860	伍	 &#20237;
E4BC8E	4F0E	8AEA	B4EC	346C	伎	 &#20238;
E4BC8F	4F0F	959A	C9FA	497A	伏	 &#20239;
E4BC90	4F10	94B0	C8B2	4832	伐	 &#20240;
E4BC91	4F11	8B78	B5D9	3559	休	 &#20241;
E4BC92	4F12		8FB0D8	443058	伒	 &#20242;
E4BC93	4F13				伓	 &#20243;
E4BC94	4F14				伔	 &#20244;
E4BC95	4F15		8FB0D9	443059	伕	 &#20245;
E4BC96	4F16		8FB0DA	44305A	伖	 &#20246;
E4BC97	4F17		8FB0DB	44305B	众	 &#20247;
E4BC98	4F18				优	 &#20248;
E4BC99	4F19		8FB0DC	44305C	伙	 &#20249;
E4BC9A	4F1A	89EF	B2F1	3271	会	 &#20250;
E4BC9B	4F1B				伛	 &#20251;
E4BC9C	4F1C	98E5	D0E7	5067	伜	 &#20252;
E4BC9D	4F1D	9360	C5C1	4541	伝	 &#20253;
E4BC9E	4F1E				伞	 &#20254;
E4BC9F	4F1F				伟	 &#20255;
E4BCA0	4F20				传	 &#20256;
E4BCA1	4F21				伡	 &#20257;
E4BCA2	4F22				伢	 &#20258;
E4BCA3	4F23				伣	 &#20259;
E4BCA4	4F24				伤	 &#20260;
E4BCA5	4F25				伥	 &#20261;
E4BCA6	4F26				伦	 &#20262;
E4BCA7	4F27				伧	 &#20263;
E4BCA8	4F28				伨	 &#20264;
E4BCA9	4F29				伩	 &#20265;
E4BCAA	4F2A				伪	 &#20266;
E4BCAB	4F2B				伫	 &#20267;
E4BCAC	4F2C				伬	 &#20268;
E4BCAD	4F2D				伭	 &#20269;
E4BCAE	4F2E		8FB0DD	44305D	伮	 &#20270;
E4BCAF	4F2F	948C	C7EC	476C	伯	 &#20271;
E4BCB0	4F30	98C4	D0C6	5046	估	 &#20272;
E4BCB1	4F31		8FB0DE	44305E	伱	 &#20273;
E4BCB2	4F32				伲	 &#20274;
E4BCB3	4F33		8FB0E0	443060	伳	 &#20275;
E4BCB4	4F34	94BA	C8BC	483C	伴	 &#20276;
E4BCB5	4F35		8FB0E1	443061	伵	 &#20277;
E4BCB6	4F36	97E0	CEE2	4E62	伶	 &#20278;
E4BCB7	4F37		8FB0E2	443062	伷	 &#20279;
E4BCB8	4F38	904C	BFAD	3F2D	伸	 &#20280;
E4BCB9	4F39	FA6D	F9B2	443063	伹	 &#20281;
E4BCBA	4F3A	8E66	BBC7	3B47	伺	 &#20282;
E4BCBB	4F3B		8FB0E4	443064	伻	 &#20283;
E4BCBC	4F3C	8E97	BBF7	3B77	似	 &#20284;
E4BCBD	4F3D	89BE	B2C0	3240	伽	 &#20285;
E4BCBE	4F3E		8FB0E5	443065	伾	 &#20286;
E4BCBF	4F3F				伿	 &#20287;
E4BD80	4F40		8FB0E6	443066	佀	 &#20288;
E4BD81	4F41				佁	 &#20289;
E4BD82	4F42		8FB0E7	443067	佂	 &#20290;
E4BD83	4F43	92CF	C4D1	4451	佃	 &#20291;
E4BD84	4F44				佄	 &#20292;
E4BD85	4F45				佅	 &#20293;
E4BD86	4F46	9241	C3A2	4322	但	 &#20294;
E4BD87	4F47	98C8	D0CA	504A	佇	 &#20295;
E4BD88	4F48		8FB0E8	443068	佈	 &#20296;
E4BD89	4F49		8FB0E9	443069	佉	 &#20297;
E4BD8A	4F4A				佊	 &#20298;
E4BD8B	4F4B		8FB0EA	44306A	佋	 &#20299;
E4BD8C	4F4C		8FB0EB	44306B	佌	 &#20300;
E4BD8D	4F4D	88CA	B0CC	304C	位	 &#20301;
E4BD8E	4F4E	92E1	C4E3	4463	低	 &#20302;
E4BD8F	4F4F	8F5A	BDBB	3D3B	住	 &#20303;
E4BD90	4F50	8DB2	BAB4	3A34	佐	 &#20304;
E4BD91	4F51	9743	CDA4	4D24	佑	 &#20305;
E4BD92	4F52		8FB0EC	44306C	佒	 &#20306;
E4BD93	4F53	91CC	C2CE	424E	体	 &#20307;
E4BD94	4F54		8FB0ED	44306D	佔	 &#20308;
E4BD95	4F55	89BD	B2BF	323F	何	 &#20309;
E4BD96	4F56	FA6E	F9B3	44306E	佖	 &#20310;
E4BD97	4F57	98C7	D0C9	5049	佗	 &#20311;
E4BD98	4F58		8FB0EF	44306F	佘	 &#20312;
E4BD99	4F59	975D	CDBE	4D3E	余	 &#20313;
E4BD9A	4F5A	98C3	D0C5	5045	佚	 &#20314;
E4BD9B	4F5B	98C5	D0C7	5047	佛	 &#20315;
E4BD9C	4F5C	8DEC	BAEE	3A6E	作	 &#20316;
E4BD9D	4F5D	98C6	D0C8	5048	佝	 &#20317;
E4BD9E	4F5E	9B43	D5A4	5524	佞	 &#20318;
E4BD9F	4F5F		8FB0F0	443070	佟	 &#20319;
E4BDA0	4F60		8FB0DF	44305F	你	 &#20320;
E4BDA1	4F61				佡	 &#20321;
E4BDA2	4F62				佢	 &#20322;
E4BDA3	4F63		8FB0F1	443071	佣	 &#20323;
E4BDA4	4F64				佤	 &#20324;
E4BDA5	4F65				佥	 &#20325;
E4BDA6	4F66				佦	 &#20326;
E4BDA7	4F67				佧	 &#20327;
E4BDA8	4F68				佨	 &#20328;
E4BDA9	4F69	98CE	D0D0	5050	佩	 &#20329;
E4BDAA	4F6A		8FB0F2	443072	佪	 &#20330;
E4BDAB	4F6B				佫	 &#20331;
E4BDAC	4F6C		8FB0F3	443073	佬	 &#20332;
E4BDAD	4F6D				佭	 &#20333;
E4BDAE	4F6E		8FB0F4	443074	佮	 &#20334;
E4BDAF	4F6F	98D1	D0D3	5053	佯	 &#20335;
E4BDB0	4F70	98CF	D0D1	5051	佰	 &#20336;
E4BDB1	4F71		8FB0F5	443075	佱	 &#20337;
E4BDB2	4F72				佲	 &#20338;
E4BDB3	4F73	89C0	B2C2	3242	佳	 &#20339;
E4BDB4	4F74				佴	 &#20340;
E4BDB5	4F75	95B9	CABB	4A3B	併	 &#20341;
E4BDB6	4F76	98C9	D0CB	504B	佶	 &#20342;
E4BDB7	4F77		8FB0F6	443076	佷	 &#20343;
E4BDB8	4F78		8FB0F7	443077	佸	 &#20344;
E4BDB9	4F79		8FB0F8	443078	佹	 &#20345;
E4BDBA	4F7A		8FB0F9	443079	佺	 &#20346;
E4BDBB	4F7B	98CD	D0CF	504F	佻	 &#20347;
E4BDBC	4F7C	8CF1	B8F3	3873	佼	 &#20348;
E4BDBD	4F7D		8FB0FA	44307A	佽	 &#20349;
E4BDBE	4F7E		8FB0FB	44307B	佾	 &#20350;
E4BDBF	4F7F	8E67	BBC8	3B48	使	 &#20351;
E4BE80	4F80				侀	 &#20352;
E4BE81	4F81		8FB0FC	44307C	侁	 &#20353;
E4BE82	4F82		8FB0FD	44307D	侂	 &#20354;
E4BE83	4F83	8AA4	B4A6	3426	侃	 &#20355;
E4BE84	4F84		8FB0FE	44307E	侄	 &#20356;
E4BE85	4F85		8FB1A1	443121	侅	 &#20357;
E4BE86	4F86	98D2	D0D4	5054	來	 &#20358;
E4BE87	4F87				侇	 &#20359;
E4BE88	4F88	98CA	D0CC	504C	侈	 &#20360;
E4BE89	4F89		8FB1A2	443122	侉	 &#20361;
E4BE8A	4F8A	FA70	F9B5	443123	侊	 &#20362;
E4BE8B	4F8B	97E1	CEE3	4E63	例	 &#20363;
E4BE8C	4F8C		8FB1A4	443124	侌	 &#20364;
E4BE8D	4F8D	8E98	BBF8	3B78	侍	 &#20365;
E4BE8E	4F8E		8FB1A5	443125	侎	 &#20366;
E4BE8F	4F8F	98CB	D0CD	504D	侏	 &#20367;
E4BE90	4F90		8FB1A6	443126	侐	 &#20368;
E4BE91	4F91	98D0	D0D2	5052	侑	 &#20369;
E4BE92	4F92	FA6F	F9B4	443127	侒	 &#20370;
E4BE93	4F93		8FB1A8	443128	侓	 &#20371;
E4BE94	4F94	FA72	F9B7	443129	侔	 &#20372;
E4BE95	4F95				侕	 &#20373;
E4BE96	4F96	98D3	D0D5	5055	侖	 &#20374;
E4BE97	4F97		8FB1AA	44312A	侗	 &#20375;
E4BE98	4F98	98CC	D0CE	504E	侘	 &#20376;
E4BE99	4F99		8FB1AB	44312B	侙	 &#20377;
E4BE9A	4F9A	FA71	F9B6	44312C	侚	 &#20378;
E4BE9B	4F9B	8B9F	B6A1	3621	供	 &#20379;
E4BE9C	4F9C				侜	 &#20380;
E4BE9D	4F9D	88CB	B0CD	304D	依	 &#20381;
E4BE9E	4F9E		8FB1AD	44312D	侞	 &#20382;
E4BE9F	4F9F		8FB1AE	44312E	侟	 &#20383;
E4BEA0	4FA0	8BA0	B6A2	3622	侠	 &#20384;
E4BEA1	4FA1	89BF	B2C1	3241	価	 &#20385;
E4BEA2	4FA2				侢	 &#20386;
E4BEA3	4FA3				侣	 &#20387;
E4BEA4	4FA4				侤	 &#20388;
E4BEA5	4FA5				侥	 &#20389;
E4BEA6	4FA6				侦	 &#20390;
E4BEA7	4FA7				侧	 &#20391;
E4BEA8	4FA8				侨	 &#20392;
E4BEA9	4FA9				侩	 &#20393;
E4BEAA	4FAA				侪	 &#20394;
E4BEAB	4FAB	9B44	D5A5	5525	侫	 &#20395;
E4BEAC	4FAC				侬	 &#20396;
E4BEAD	4FAD	9699	CBF9	4B79	侭	 &#20397;
E4BEAE	4FAE	958E	C9EE	496E	侮	 &#20398;
E4BEAF	4FAF	8CF2	B8F4	3874	侯	 &#20399;
E4BEB0	4FB0				侰	 &#20400;
E4BEB1	4FB1				侱	 &#20401;
E4BEB2	4FB2		8FB1AF	44312F	侲	 &#20402;
E4BEB3	4FB3				侳	 &#20403;
E4BEB4	4FB4				侴	 &#20404;
E4BEB5	4FB5	904E	BFAF	3F2F	侵	 &#20405;
E4BEB6	4FB6	97B5	CEB7	4E37	侶	 &#20406;
E4BEB7	4FB7		8FB1B0	443130	侷	 &#20407;
E4BEB8	4FB8				侸	 &#20408;
E4BEB9	4FB9		8FB1B1	443131	侹	 &#20409;
E4BEBA	4FBA				侺	 &#20410;
E4BEBB	4FBB		8FB1B2	443132	侻	 &#20411;
E4BEBC	4FBC		8FB1B3	443133	侼	 &#20412;
E4BEBD	4FBD		8FB1B4	443134	侽	 &#20413;
E4BEBE	4FBE		8FB1B5	443135	侾	 &#20414;
E4BEBF	4FBF	95D6	CAD8	4A58	便	 &#20415;
E4BF80	4FC0		8FB1B6	443136	俀	 &#20416;
E4BF81	4FC1		8FB1B7	443137	俁	 &#20417;
E4BF82	4FC2	8C57	B7B8	3738	係	 &#20418;
E4BF83	4FC3	91A3	C2A5	4225	促	 &#20419;
E4BF84	4FC4	89E2	B2E4	3264	俄	 &#20420;
E4BF85	4FC5		8FB1B8	443138	俅	 &#20421;
E4BF86	4FC6		8FB1B9	443139	俆	 &#20422;
E4BF87	4FC7				俇	 &#20423;
E4BF88	4FC8		8FB1BA	44313A	俈	 &#20424;
E4BF89	4FC9	FA61	F9A6	44313B	俉	 &#20425;
E4BF8A	4FCA	8F72	BDD3	3D53	俊	 &#20426;
E4BF8B	4FCB		8FB1BC	44313C	俋	 &#20427;
E4BF8C	4FCC		8FB1BD	44313D	俌	 &#20428;
E4BF8D	4FCD	FA73	F9B8	44313E	俍	 &#20429;
E4BF8E	4FCE	98D7	D0D9	5059	俎	 &#20430;
E4BF8F	4FCF		8FB1BF	44313F	俏	 &#20431;
E4BF90	4FD0	98DC	D0DE	505E	俐	 &#20432;
E4BF91	4FD1	98DA	D0DC	505C	俑	 &#20433;
E4BF92	4FD2		8FB1C0	443140	俒	 &#20434;
E4BF93	4FD3				俓	 &#20435;
E4BF94	4FD4	98D5	D0D7	5057	俔	 &#20436;
E4BF95	4FD5				俕	 &#20437;
E4BF96	4FD6				俖	 &#20438;
E4BF97	4FD7	91AD	C2AF	422F	俗	 &#20439;
E4BF98	4FD8	98D8	D0DA	505A	俘	 &#20440;
E4BF99	4FD9				俙	 &#20441;
E4BF9A	4FDA	98DB	D0DD	505D	俚	 &#20442;
E4BF9B	4FDB	98D9	D0DB	505B	俛	 &#20443;
E4BF9C	4FDC		8FB1C1	443141	俜	 &#20444;
E4BF9D	4FDD	95DB	CADD	4A5D	保	 &#20445;
E4BF9E	4FDE				俞	 &#20446;
E4BF9F	4FDF	98D6	D0D8	5058	俟	 &#20447;
E4BFA0	4FE0		8FB1C2	443142	俠	 &#20448;
E4BFA1	4FE1	904D	BFAE	3F2E	信	 &#20449;
E4BFA2	4FE2		8FB1C3	443143	俢	 &#20450;
E4BFA3	4FE3	9693	CBF3	4B73	俣	 &#20451;
E4BFA4	4FE4	98DD	D0DF	505F	俤	 &#20452;
E4BFA5	4FE5	98DE	D0E0	5060	俥	 &#20453;
E4BFA6	4FE6				俦	 &#20454;
E4BFA7	4FE7				俧	 &#20455;
E4BFA8	4FE8				俨	 &#20456;
E4BFA9	4FE9				俩	 &#20457;
E4BFAA	4FEA				俪	 &#20458;
E4BFAB	4FEB				俫	 &#20459;
E4BFAC	4FEC				俬	 &#20460;
E4BFAD	4FED				俭	 &#20461;
E4BFAE	4FEE	8F43	BDA4	3D24	修	 &#20462;
E4BFAF	4FEF	98EB	D0ED	506D	俯	 &#20463;
E4BFB0	4FF0		8FB1C4	443144	俰	 &#20464;
E4BFB1	4FF1				俱	 &#20465;
E4BFB2	4FF2		8FB1C5	443145	俲	 &#20466;
E4BFB3	4FF3	946F	C7D0	4750	俳	 &#20467;
E4BFB4	4FF4				俴	 &#20468;
E4BFB5	4FF5	9555	C9B6	4936	俵	 &#20469;
E4BFB6	4FF6	98E6	D0E8	5068	俶	 &#20470;
E4BFB7	4FF7				俷	 &#20471;
E4BFB8	4FF8	95EE	CAF0	4A70	俸	 &#20472;
E4BFB9	4FF9				俹	 &#20473;
E4BFBA	4FFA	89B4	B2B6	3236	俺	 &#20474;
E4BFBB	4FFB				俻	 &#20475;
E4BFBC	4FFC		8FB1C6	443146	俼	 &#20476;
E4BFBD	4FFD		8FB1C7	443147	俽	 &#20477;
E4BFBE	4FFE	98EA	D0EC	506C	俾	 &#20478;
E4BFBF	4FFF	FA76	F9BB	443148	俿	 &#20479;
E58080	5000		8FB1C9	443149	倀	 &#20480;
E58081	5001		8FB1CA	44314A	倁	 &#20481;
E58082	5002				倂	 &#20482;
E58083	5003				倃	 &#20483;
E58084	5004		8FB1CB	44314B	倄	 &#20484;
E58085	5005	98E4	D0E6	5066	倅	 &#20485;
E58086	5006	98ED	D0EF	506F	倆	 &#20486;
E58087	5007		8FB1CC	44314C	倇	 &#20487;
E58088	5008				倈	 &#20488;
E58089	5009	9171	C1D2	4152	倉	 &#20489;
E5808A	500A		8FB1CD	44314D	倊	 &#20490;
E5808B	500B	8CC2	B8C4	3844	個	 &#20491;
E5808C	500C		8FB1CE	44314E	倌	 &#20492;
E5808D	500D	947B	C7DC	475C	倍	 &#20493;
E5808E	500E		8FB1CF	44314F	倎	 &#20494;
E5808F	500F	E0C5	E0C7	6047	倏	 &#20495;
E58090	5010		8FB1D0	443150	倐	 &#20496;
E58091	5011	98EC	D0EE	506E	們	 &#20497;
E58092	5012	937C	C5DD	455D	倒	 &#20498;
E58093	5013		8FB1D1	443151	倓	 &#20499;
E58094	5014	98E1	D0E3	5063	倔	 &#20500;
E58095	5015				倕	 &#20501;
E58096	5016	8CF4	B8F6	3876	倖	 &#20502;
E58097	5017		8FB1D2	443152	倗	 &#20503;
E58098	5018		8FB1D3	443153	倘	 &#20504;
E58099	5019	8CF3	B8F5	3875	候	 &#20505;
E5809A	501A	98DF	D0E1	5061	倚	 &#20506;
E5809B	501B		8FB1D4	443154	倛	 &#20507;
